E09000001,E06000034,967.0
E10000015,E06000032,1070.0
E09000026,E09000016,420.0
E10000015,E10000015,231937.0
E10000003,E10000003,206198.0
E10000003,E06000031,914.0
E10000015,E09000005,201.0
E06000011,E06000011,44902.0
E10000011,E06000043,398.0
E10000011,E10000011,81902.0
E10000012,E09000010,228.0
E10000012,E09000001,1502.0
E10000015,E09000015,919.0
E10000012,E09000026,188.0
E10000012,E10000012,284754.0
E10000012,E09000016,646.0
E09000001,E09000004,1860.0
E10000015,E09000001,2620.0
E09000001,E10000016,2134.0
E10000012,E10000015,1603.0
E10000016,E10000016,458908.0
E10000019,E10000003,192.0
E10000019,E10000019,199949.0
E09000006,E09000001,976.0
E09000006,E10000003,176.0
E09000006,E09000006,22176.0
E09000006,E09000004,221.0
E09000006,E10000016,279.0
E09000004,E09000001,1853.0
E09000004,E10000016,827.0
E09000004,E09000006,242.0
E09000004,E09000004,27276.0
E09000002,E09000005,42.0
E09000002,E09000001,3163.0
E09000002,E09000010,70.0
E09000002,E09000026,208.0
E09000002,E09000002,40971.0
E09000002,E09000016,878.0
E09000002,E09000004,101.0
E09000002,E06000035,292.0
E09000002,E10000012,183.0
E09000002,E06000037,76.0
E09000002,E06000034,324.0
E10000015,E10000012,1685.0
E09000016,E09000026,444.0
E10000003,E10000019,181.0
E09000016,E10000012,686.0
E10000003,E10000020,283.0
E09000016,E09000001,2319.0
E09000016,E09000005,31.0
E09000016,E06000034,295.0
E09000016,E09000016,53604.0
E09000016,E10000015,47.0
E09000016,E09000010,91.0
E09000016,E09000002,927.0
E09000016,E09000004,76.0
E10000027,E10000027,138678.0
E09000016,E06000037,126.0
E10000003,E10000029,605.0
E09000016,E06000035,395.0
E10000019,E10000020,112.0
E10000019,E06000031,732.0
E10000016,E09000004,852.0
E10000016,E10000003,67.0
E10000016,E06000057,1395.0
E10000016,E10000020,1488.0
E09000004,E09000002,103.0
E06000013,E06000013,45285.0
E09000004,E06000035,74.0
E09000004,E06000034,395.0
E10000016,E09000006,236.0
E10000016,E09000002,34.0
E10000016,E09000001,1928.0
E06000035,E09000002,307.0
