castellon,castellon,85683.0
alicante,alicante,256860.0
alicante,valencia,55.0
valencia,alicante,53.0
lleida,lleida,67448.0
tarragona,tarragona,126585.0
tarragona,barcelona,85.0
barcelona,tarragona,69.0
barcelona,barcelona,811740.0
barcelona,girona,124.0
girona,barcelona,142.0
girona,girona,122750.0
albacete,albacete,53971.0
gipuzkoa,gipuzkoa,77026.0
cuenca,cuenca,29053.0
castellon,valencia,29.0
almeria,almeria,111800.0
soria,soria,9698.0
araba/alava,araba/alava,39114.0
bizkaia,bizkaia,117376.0
araba/alava,burgos,27.0
guadalajara,guadalajara,30175.0
ciudad_real,ciudad_real,71449.0
granada,granada,131916.0
burgos,burgos,35019.0
jaen,jaen,93614.0
toledo,toledo,115355.0
granada,malaga,13.0
segovia,segovia,20418.0
palencia,palencia,17512.0
malaga,malaga,232170.0
cordoba,cordoba,114478.0
valladolid,valladolid,63270.0
avila,avila,18536.0
sevilla,cordoba,66.0
cordoba,sevilla,73.0
salamanca,salamanca,40547.0
valencia,valencia,347636.0
zamora,zamora,19196.0
sevilla,sevilla,300212.0
leon,leon,54254.0
cadiz,cadiz,153662.0
caceres,caceres,53120.0
sevilla,huelva,65.0
badajoz,badajoz,101861.0
huelva,huelva,102369.0
huelva,sevilla,34.0
bizkaia,gipuzkoa,10.0
valencia,castellon,23.0
malaga,granada,11.0
valladolid,palencia,14.0
cadiz,malaga,15.0
castellon,girona,10.0
gipuzkoa,bizkaia,20.0
burgos,araba/alava,12.0
malaga,cadiz,11.0
