valencia,valencia,344931.0
toledo,toledo,107111.0
segovia,segovia,19735.0
avila,segovia,56.0
palencia,valladolid,118.0
palencia,palencia,17022.0
malaga,malaga,232447.0
cordoba,cordoba,113785.0
valladolid,palencia,104.0
valladolid,valladolid,62075.0
avila,avila,17685.0
cordoba,sevilla,190.0
sevilla,cordoba,184.0
alicante,valencia,492.0
cadiz,malaga,89.0
malaga,cadiz,89.0
salamanca,salamanca,39983.0
alicante,alicante,250410.0
zamora,zamora,18737.0
sevilla,cadiz,143.0
sevilla,sevilla,301742.0
leon,leon,53583.0
cadiz,cadiz,151078.0
cadiz,sevilla,130.0
caceres,caceres,52155.0
sevilla,huelva,251.0
caceres,badajoz,66.0
badajoz,badajoz,100759.0
huelva,sevilla,267.0
huelva,huelva,101368.0
castellon,castellon,84208.0
albacete,alicante,53.0
castellon,tarragona,147.0
tarragona,castellon,139.0
lleida,lleida,65787.0
lleida,barcelona,53.0
tarragona,tarragona,123084.0
tarragona,barcelona,814.0
barcelona,tarragona,866.0
barcelona,barcelona,815186.0
barcelona,valencia,20.0
barcelona,girona,703.0
girona,barcelona,715.0
girona,girona,118792.0
albacete,albacete,52214.0
castellon,valencia,362.0
albacete,cuenca,73.0
gipuzkoa,gipuzkoa,76550.0
cuenca,albacete,59.0
cuenca,cuenca,27669.0
almeria,almeria,110150.0
gipuzkoa,bizkaia,338.0
soria,soria,9488.0
araba/alava,gipuzkoa,59.0
araba/alava,araba/alava,38852.0
bizkaia,gipuzkoa,322.0
araba/alava,bizkaia,205.0
araba/alava,burgos,137.0
bizkaia,bizkaia,116529.0
bizkaia,araba/alava,202.0
burgos,araba/alava,137.0
bizkaia,burgos,50.0
guadalajara,guadalajara,27948.0
valencia,castellon,369.0
burgos,bizkaia,52.0
valencia,alicante,465.0
granada,granada,131064.0
ciudad_real,ciudad_real,69180.0
granada,malaga,44.0
burgos,burgos,33904.0
jaen,jaen,91670.0
jaen,granada,28.0
burgos,valladolid,25.0
segovia,avila,55.0
valladolid,burgos,50.0
valladolid,segovia,33.0
salamanca,zamora,23.0
badajoz,caceres,56.0
alicante,albacete,46.0
barcelona,lleida,49.0
gipuzkoa,araba/alava,51.0
toledo,ciudad_real,26.0
granada,almeria,30.0
granada,jaen,16.0
jaen,cordoba,13.0
segovia,valladolid,31.0
cordoba,jaen,22.0
malaga,granada,64.0
malaga,cordoba,11.0
valladolid,salamanca,13.0
sevilla,malaga,11.0
salamanca,valladolid,12.0
zamora,salamanca,11.0
cuenca,valencia,11.0
almeria,granada,27.0
cuenca,toledo,10.0
ciudad_real,toledo,17.0
